Datetime,Time,P_ac
2018-06-17 17:45:00,2018-06-1717:45:00,1292
2018-06-17 17:40:00,2018-06-1717:40:00,1911
2018-06-17 17:35:00,2018-06-1717:35:00,1752
2018-06-17 17:30:00,2018-06-1717:30:00,1024
2018-06-17 17:25:00,2018-06-1717:25:00,551
2018-06-17 17:20:00,2018-06-1717:20:00,520
2018-06-17 17:15:00,2018-06-1717:15:00,702
2018-06-17 17:10:00,2018-06-1717:10:00,703
2018-06-17 17:05:00,2018-06-1717:05:00,1782
2018-06-17 17:00:00,2018-06-1717:00:00,2309
2018-06-17 16:55:00,2018-06-1716:55:00,2582
2018-06-17 16:50:00,2018-06-1716:50:00,2220
2018-06-17 16:45:00,2018-06-1716:45:00,1122
2018-06-17 16:40:00,2018-06-1716:40:00,2366
2018-06-17 16:35:00,2018-06-1716:35:00,2944
2018-06-17 16:30:00,2018-06-1716:30:00,1618
2018-06-17 16:25:00,2018-06-1716:25:00,2394
2018-06-17 16:20:00,2018-06-1716:20:00,1462
2018-06-17 16:15:00,2018-06-1716:15:00,2652
2018-06-17 16:10:00,2018-06-1716:10:00,1617
2018-06-17 16:05:00,2018-06-1716:05:00,2529
2018-06-17 16:00:00,2018-06-1716:00:00,3457
2018-06-17 15:55:00,2018-06-1715:55:00,2065
2018-06-17 15:50:00,2018-06-1715:50:00,2761
2018-06-17 15:45:00,2018-06-1715:45:00,2197
2018-06-17 15:40:00,2018-06-1715:40:00,2919
2018-06-17 15:35:00,2018-06-1715:35:00,2973
2018-06-17 15:30:00,2018-06-1715:30:00,2158
2018-06-17 15:25:00,2018-06-1715:25:00,2069
2018-06-17 15:20:00,2018-06-1715:20:00,1936
2018-06-17 15:15:00,2018-06-1715:15:00,1981
2018-06-17 15:10:00,2018-06-1715:10:00,2053
2018-06-17 15:05:00,2018-06-1715:05:00,2189
2018-06-17 15:00:00,2018-06-1715:00:00,2359
2018-06-17 14:55:00,2018-06-1714:55:00,2474
2018-06-17 14:50:00,2018-06-1714:50:00,3323
2018-06-17 14:45:00,2018-06-1714:45:00,2987
2018-06-17 14:40:00,2018-06-1714:40:00,1678
2018-06-17 14:35:00,2018-06-1714:35:00,1437
2018-06-17 14:30:00,2018-06-1714:30:00,1324
2018-06-17 14:25:00,2018-06-1714:25:00,1122
2018-06-17 14:20:00,2018-06-1714:20:00,767
2018-06-17 14:15:00,2018-06-1714:15:00,515
2018-06-17 14:10:00,2018-06-1714:10:00,473
2018-06-17 14:05:00,2018-06-1714:05:00,705
2018-06-17 14:00:00,2018-06-1714:00:00,1509
2018-06-17 13:55:00,2018-06-1713:55:00,3631
2018-06-17 13:50:00,2018-06-1713:50:00,1337
2018-06-17 13:45:00,2018-06-1713:45:00,3522
2018-06-17 13:40:00,2018-06-1713:40:00,2388
2018-06-17 13:35:00,2018-06-1713:35:00,1704
2018-06-17 13:30:00,2018-06-1713:30:00,4264
2018-06-17 13:25:00,2018-06-1713:25:00,5155
2018-06-17 13:20:00,2018-06-1713:20:00,2891
2018-06-17 13:15:00,2018-06-1713:15:00,926
2018-06-17 13:10:00,2018-06-1713:10:00,783
2018-06-17 13:05:00,2018-06-1713:05:00,1133
2018-06-17 13:00:00,2018-06-1713:00:00,2408
2018-06-17 12:55:00,2018-06-1712:55:00,4099
2018-06-17 12:50:00,2018-06-1712:50:00,4812
2018-06-17 12:45:00,2018-06-1712:45:00,2617
2018-06-17 12:40:00,2018-06-1712:40:00,3177
2018-06-17 12:35:00,2018-06-1712:35:00,2343
2018-06-17 12:30:00,2018-06-1712:30:00,2512
2018-06-17 12:25:00,2018-06-1712:25:00,2847
2018-06-17 12:20:00,2018-06-1712:20:00,2863
2018-06-17 12:15:00,2018-06-1712:15:00,2492
2018-06-17 12:10:00,2018-06-1712:10:00,3052
2018-06-17 12:05:00,2018-06-1712:05:00,3168
2018-06-17 12:00:00,2018-06-1712:00:00,2597
2018-06-17 11:55:00,2018-06-1711:55:00,4623
2018-06-17 11:50:00,2018-06-1711:50:00,3570
2018-06-17 11:45:00,2018-06-1711:45:00,1271
2018-06-17 11:40:00,2018-06-1711:40:00,3166
2018-06-17 11:35:00,2018-06-1711:35:00,3978
2018-06-17 11:30:00,2018-06-1711:30:00,3524
2018-06-17 11:25:00,2018-06-1711:25:00,2361
2018-06-17 11:20:00,2018-06-1711:20:00,2734
2018-06-17 11:15:00,2018-06-1711:15:00,3874
2018-06-17 11:10:00,2018-06-1711:10:00,3554
2018-06-17 11:05:00,2018-06-1711:05:00,3560
2018-06-17 11:00:00,2018-06-1711:00:00,1731
2018-06-17 10:55:00,2018-06-1710:55:00,1184
2018-06-17 10:50:00,2018-06-1710:50:00,2420
2018-06-17 10:45:00,2018-06-1710:45:00,2353
2018-06-17 10:40:00,2018-06-1710:40:00,2753
2018-06-17 10:35:00,2018-06-1710:35:00,3221
2018-06-17 10:30:00,2018-06-1710:30:00,3205
2018-06-17 10:25:00,2018-06-1710:25:00,2153
2018-06-17 10:20:00,2018-06-1710:20:00,3008
2018-06-17 10:15:00,2018-06-1710:15:00,1980
2018-06-17 10:10:00,2018-06-1710:10:00,1346
2018-06-17 10:05:00,2018-06-1710:05:00,1464
2018-06-17 10:00:00,2018-06-1710:00:00,1607
2018-06-17 09:55:00,2018-06-1709:55:00,1937
2018-06-17 09:50:00,2018-06-1709:50:00,2239
2018-06-17 09:45:00,2018-06-1709:45:00,2478
2018-06-17 09:40:00,2018-06-1709:40:00,1955
2018-06-17 09:35:00,2018-06-1709:35:00,1274
2018-06-17 09:30:00,2018-06-1709:30:00,1591
2018-06-17 09:25:00,2018-06-1709:25:00,2446
2018-06-17 09:20:00,2018-06-1709:20:00,2505
2018-06-17 09:15:00,2018-06-1709:15:00,2248
2018-06-17 09:10:00,2018-06-1709:10:00,2106
2018-06-17 09:05:00,2018-06-1709:05:00,1984
2018-06-17 09:00:00,2018-06-1709:00:00,1854
2018-06-17 08:55:00,2018-06-1708:55:00,1754
2018-06-17 08:50:00,2018-06-1708:50:00,1575
2018-06-17 08:45:00,2018-06-1708:45:00,1423
2018-06-17 08:40:00,2018-06-1708:40:00,927
2018-06-17 08:35:00,2018-06-1708:35:00,1302
2018-06-17 08:30:00,2018-06-1708:30:00,872
2018-06-17 08:25:00,2018-06-1708:25:00,505
2018-06-17 08:20:00,2018-06-1708:20:00,653
2018-06-17 08:15:00,2018-06-1708:15:00,1299
2018-06-17 08:10:00,2018-06-1708:10:00,1089
2018-06-17 08:05:00,2018-06-1708:05:00,867
2018-06-17 08:00:00,2018-06-1708:00:00,638
2018-06-17 07:55:00,2018-06-1707:55:00,911
2018-06-17 07:50:00,2018-06-1707:50:00,659
2018-06-17 07:45:00,2018-06-1707:45:00,269
2018-06-17 07:40:00,2018-06-1707:40:00,189
2018-06-17 07:35:00,2018-06-1707:35:00,187
2018-06-17 07:30:00,2018-06-1707:30:00,176
2018-06-17 07:25:00,2018-06-1707:25:00,106
2018-06-17 07:20:00,2018-06-1707:20:00,88
2018-06-17 07:15:00,2018-06-1707:15:00,82
2018-06-17 07:10:00,2018-06-1707:10:00,68
2018-06-17 07:05:00,2018-06-1707:05:00,41
2018-06-17 07:00:00,2018-06-1707:00:00,29
2018-06-17 06:55:00,2018-06-1706:55:00,26
2018-06-17 06:50:00,2018-06-1706:50:00,24
2018-06-17 06:45:00,2018-06-1706:45:00,26
2018-06-17 06:40:00,2018-06-1706:40:00,12
2018-06-17 06:35:00,2018-06-1706:35:00,0
2018-06-17 06:30:00,2018-06-1706:30:00,0
2018-06-17 06:25:00,2018-06-1706:25:00,0
2018-06-17 06:20:00,2018-06-1706:20:00,0
2018-06-17 06:15:00,2018-06-1706:15:00,0
2018-06-17 06:10:00,2018-06-1706:10:00,0
2018-06-17 06:05:00,2018-06-1706:05:00,0
2018-06-17 06:00:00,2018-06-1706:00:00,0
2018-06-17 05:55:00,2018-06-1705:55:00,0
2018-06-17 05:50:00,2018-06-1705:50:00,0
2018-06-17 05:45:00,2018-06-1705:45:00,0
2018-06-17 05:40:00,2018-06-1705:40:00,0
2018-06-17 05:35:00,2018-06-1705:35:00,0
2018-06-17 05:30:00,2018-06-1705:30:00,0
2018-06-17 05:25:00,2018-06-1705:25:00,0
2018-06-17 05:20:00,2018-06-1705:20:00,0
2018-06-17 05:15:00,2018-06-1705:15:00,0
2018-06-17 05:10:00,2018-06-1705:10:00,0
2018-06-17 05:05:00,2018-06-1705:05:00,0
2018-06-17 05:00:00,2018-06-1705:00:00,0
2018-06-17 04:55:00,2018-06-1704:55:00,0
2018-06-17 04:50:00,2018-06-1704:50:00,0
2018-06-17 04:45:00,2018-06-1704:45:00,0
2018-06-17 04:40:00,2018-06-1704:40:00,0
2018-06-17 04:35:00,2018-06-1704:35:00,0
2018-06-17 04:30:00,2018-06-1704:30:00,0
2018-06-17 04:25:00,2018-06-1704:25:00,0
2018-06-17 04:20:00,2018-06-1704:20:00,0
2018-06-17 04:15:00,2018-06-1704:15:00,0
2018-06-17 04:10:00,2018-06-1704:10:00,0
2018-06-17 04:05:00,2018-06-1704:05:00,0
2018-06-17 04:00:00,2018-06-1704:00:00,0
2018-06-17 03:55:00,2018-06-1703:55:00,0
2018-06-17 03:50:00,2018-06-1703:50:00,0
2018-06-17 03:45:00,2018-06-1703:45:00,0
2018-06-17 03:40:00,2018-06-1703:40:00,0
2018-06-17 03:35:00,2018-06-1703:35:00,0
2018-06-17 03:30:00,2018-06-1703:30:00,0
2018-06-17 03:25:00,2018-06-1703:25:00,0
2018-06-17 03:20:00,2018-06-1703:20:00,0
